"","QUANTITYORDERED","PRICEEACH","ORDERDATE","MONTH_ID","YEAR_ID","PRODUCTLINE","CUSTOMERNAME","CITY","STATE","COUNTRY"
"1",30,95.7,"2/24/2003 0:00",2,2003,"Motorcycles","Land of Toys Inc.","NYC","NY","USA"
"2",34,81.35,"5/7/2003 0:00",5,2003,"Motorcycles","Reims Collectables","Reims","","France"
"3",41,94.74,"7/1/2003 0:00",7,2003,"Motorcycles","Lyon Souveniers","Paris","","France"
"4",45,83.26,"8/25/2003 0:00",8,2003,"Motorcycles","Toys4GrownUps.com","Pasadena","CA","USA"
"5",49,100,"10/10/2003 0:00",10,2003,"Motorcycles","Corporate Gift Ideas Co.","San Francisco","CA","USA"
"6",36,96.66,"10/28/2003 0:00",10,2003,"Motorcycles","Technics Stores Inc.","Burlingame","CA","USA"
"7",29,86.13,"11/11/2003 0:00",11,2003,"Motorcycles","Daedalus Designs Imports","Lille","","France"
"8",48,100,"11/18/2003 0:00",11,2003,"Motorcycles","Herkku Gifts","Bergen","","Norway"
"9",22,98.57,"12/1/2003 0:00",12,2003,"Motorcycles","Mini Wheels Co.","San Francisco","CA","USA"
"10",41,100,"1/15/2004 0:00",1,2004,"Motorcycles","Auto Canal Petit","Paris","","France"
"11",37,100,"2/20/2004 0:00",2,2004,"Motorcycles","Australian Collectors, Co.","Melbourne","Victoria","Australia"
"12",23,100,"4/5/2004 0:00",4,2004,"Motorcycles","Vitachrome Inc.","NYC","NY","USA"
"13",28,100,"5/18/2004 0:00",5,2004,"Motorcycles","Tekni Collectables Inc.","Newark","NJ","USA"
"14",34,100,"6/28/2004 0:00",6,2004,"Motorcycles","Gift Depot Inc.","Bridgewater","CT","USA"
"15",45,92.83,"7/23/2004 0:00",7,2004,"Motorcycles","La Rochelle Gifts","Nantes","","France"
"16",36,100,"8/27/2004 0:00",8,2004,"Motorcycles","Marta's Replicas Co.","Cambridge","MA","USA"
"17",23,100,"9/30/2004 0:00",9,2004,"Motorcycles","Toys of Finland, Co.","Helsinki","","Finland"
"18",41,100,"10/15/2004 0:00",10,2004,"Motorcycles","Baane Mini Imports","Stavern","","Norway"
